,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_date,wait_min,cleanliness,safety,satisfaction
0,1351,Tuesday,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,2018-12-31,115,Clean,Neutral,Very satisfied
1,373,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,2018-12-31,135,Clean,Very safe,Very satisfied
2,2820,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,70,Average,Somewhat safe,Neutral
3,1157,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,190,Clean,Very safe,Somewhat satsified
4,2992,Wednesday,AMERICAN,MIAMI,East US,Hub,Gates 50-59,2018-12-31,559,Somewhat clean,Very safe,Somewhat satsified
5,634,Thursday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,140,Somewhat clean,Very safe,Very satisfied
6,2578,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,63,Clean,Very safe,Somewhat satsified
7,2592,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,    Hub,Gates 1-12,2018-12-31,215,Somewhat clean,Very safe,Neutral
8,919,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,70,Somewhat clean,Somewhat safe,Somewhat satsified
9,3028,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,180,Average,Very safe,Neutral
10,1129,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,2018-12-31,540,Clean,Very safe,Somewhat satsified
11,2648,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,192,Somewhat clean,Very safe,Somewhat satsified
12,3104,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,2018-12-31,107,Clean,Very safe,Somewhat satsified
13,2589,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,2018-12-31,155,Somewhat clean,Somewhat safe,Somewhat satsified
14,2345,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,155,Somewhat clean,Somewhat safe,Somewhat satsified
15,390,Friday,ALASKA,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,175,Bomm,Neutral,Somewhat satsified
16,954,Tuesday,ALASKA,NEW YORK-JFK,EAST US,    Hub,Gates 50-59,2018-12-31,100,Clean,Very safe,Very satisfied
17,2913,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,2018-12-31,225,Clean,Very safe,Somewhat satsified
18,803,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,2018-12-31,155,Clean,Very safe,Very satisfied
19,767,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,115,Average,Neutral,Somewhat satsified
20,1214,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,2018-12-31,60,Average,Somewhat safe,Somewhat satsified
21,1373,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub     ,Gates 91-102,2018-12-31,145,Clean,Very safe,Somewhat satsified
22,1263,Thursday,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,2018-12-31,210,Average,Neutral,Neutral
23,2723,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,160,Somewhat clean,Very safe,Somewhat satsified
24,3097,Tuesday,UNITED,SPOKANE,West US,    Small,Gates 70-90,2018-12-31,604,Clean,Very safe,Very satisfied
25,214,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,100,Average,Somewhat safe,Somewhat satsified
26,1372,Tuesday,UNITED INTL,PARIS-DE GAULLE,eur,    Hub,Gates 91-102,2018-12-31,205,Somewhat clean,Very safe,Somewhat satsified
27,1956,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,2018-12-31,115,Somewhat clean,Somewhat safe,Somewhat satsified
28,1716,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,510,Clean,Neutral,Very satisfied
29,1487,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium     ,Gates 1-12,2018-12-31,135,Nasty,Very safe,Somewhat satsified
30,842,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,2018-12-31,145,Somewhat clean,Very safe,Somewhat satsified
31,930,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,270,Average,Somewhat safe,Somewhat satsified
32,3064,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,2018-12-31,173,Average,Neutral,Neutral
33,743,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,2018-12-31,100,Somewhat clean,Very safe,Somewhat satsified
34,2099,Monday,UNITED INTL,MEXICO CITY,Canada/Mexico,Hub,Gates 91-102,2018-12-31,190,Clean,Very safe,Neutral
35,315,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,2018-12-31,92,Somewhat clean,Very safe,Somewhat satsified
36,2216,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,2018-12-31,135,Somewhat clean,Very safe,Very satisfied
37,3121,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,125,Clean,Very safe,Neutral
38,2890,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,2018-12-31,145,Average,Neutral,Somewhat satsified
39,3046,Tuesday,AMERICAN,LOS ANGELES,West US,Hub     ,Gates 50-59,2018-12-31,120,Average,Very safe,Very satisfied
40,3183,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,900,Somewhat clean,Somewhat safe,Somewhat satsified
41,2288,Tuesday,UNITED,SAN ANTONIO,Midwest US,    Medium,Gates 70-90,2018-12-31,150,Clean,Very safe,Very satisfied
42,2740,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,2018-12-31,330,Average,Very unsafe,Somewhat satsified
43,1570,Wednesday,UNITED INTL,HONG KONG,Asia,Hub,Gates 91-102,2018-12-31,150,Clean,Somewhat safe,Somewhat satsified
44,3228,Thursday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,110,Clean,Very safe,Somewhat satsified
45,1140,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,415,Somewhat clean,Very safe,Somewhat satsified
46,349,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,2018-12-31,76,Clean,Very safe,Very satisfied
47,1572,Wednesday,UNITED INTL,HONG KONG,Asia,Hub,Gates 91-102,2018-12-31,150,Somewhat clean,Neutral,Very satisfied
48,1635,Thursday,KOREAN AIR,SEOUL,Asia,Hub,Gates 1-12,2018-12-31,210,Somewhat dirty,Somewhat safe,Neutral
49,524,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,165,Somewhat clean,Somewhat safe,Neutral
50,1139,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,2018-12-31,120,Average,Very safe,Somewhat satsified
51,314,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,2018-12-31,122,Clean,Very safe,Very satisfied
52,558,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,225,Somewhat clean,Somewhat safe,Somewhat satsified
53,262,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,175,Somewhat clean,Somewhat safe,Somewhat satsified
54,2537,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,    Hub,Gates 60-69,2018-12-31,115,Clean,Very safe,Very satisfied
55,1713,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,135,Average,Very safe,Somewhat satsified
56,407,Saturday,UNITED,PHOENIX,West US,Hub,Gates 70-90,2018-12-31,110,Clean,Very safe,Somewhat satsified
57,3212,Thursday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,90,Somewhat clean,Somewhat safe,Somewhat unsatisfied
58,450,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,2018-12-31,68,Clean,Somewhat safe,Very satisfied
59,1477,Wednesday,AVIANCA,SAN SALVADOR,Central/South America,Small,Gates 1-12,2018-12-31,155,Clean,Very safe,Very satisfied
60,3151,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,2018-12-31,15,Average,Very safe,Neutral
61,2257,Wednesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,2018-12-31,65,Clean,Very safe,Very satisfied
62,2400,Wednesday,UNITED INTL,BEIJING,Asia,Hub,Gates 91-102,2018-12-31,205,Clean,Very safe,Somewhat satsified
63,2230,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,2018-12-31,300,Average,Somewhat safe,Neutral
64,2865,Wednesday,UNITED,WASHINGTON DC-DULLES,East US,Medium,Gates 70-90,2018-12-31,77,Average,Very safe,Somewhat satsified
65,387,Friday,ALASKA,INDIANAPOLIS,Midwest US,    Medium,Gates 50-59,2018-12-31,160,Clean,Very safe,Very satisfied
66,1957,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub     ,Gates 1-12,2018-12-31,185,Somewhat clean,Neutral,Somewhat satsified
67,2526,Tuesday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,60,Somewhat clean,Somewhat safe,Somewhat satsified
68,3041,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,2018-12-31,185,Somewhat clean,Very safe,Somewhat satsified
69,813,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,140,Somewhat clean,Very safe,Somewhat satsified
70,1523,Wednesday,JETBLUE,NEW YORK-JFK,EAST US,    Hub,Gates 1-12,2018-12-31,81,Somewhat clean,Very safe,Somewhat satsified
71,2796,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,2018-12-31,160,Somewhat clean,Somewhat safe,Somewhat satsified
72,3255,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,2018-12-31,105,Average,Somewhat safe,Neutral
